Name,Path,File type,Cyclomatic Complexity,Total lines,Empty Lines,Effective Lines,Comment Lines
COADM01.bms,demo/bms/COADM01.bms,BMS,1,168,1,146,21
COBIL00C.cbl,demo/cbl/COBIL00C.cbl,COB,50,573,72,422,79
COTTL01Y.cpy,demo/cpy/COTTL01Y.cpy,CPY,0,28,1,7,20
CORPT00C.cbl,demo/cbl/CORPT00C.cbl,COB,45,650,86,501,63
COUSR02C.cbl,demo/cbl/COUSR02C.cbl,COB,41,415,49,303,63
CSUTLDTC.cbl,demo/cbl/CSUTLDTC.cbl,COB,12,158,14,115,29
CVTRA03Y.cpy,demo/cpy/CVTRA03Y.cpy,CPY,0,11,1,4,6
COUSR00C.cbl,demo/cbl/COUSR00C.cbl,COB,89,696,84,532,80
CVCUS01Y.cpy,demo/cpy/CVCUS01Y.cpy,CPY,0,27,1,20,6
COUSR01C.cbl,demo/cbl/COUSR01C.cbl,COB,26,300,40,199,61
TRNTYCAT.ddl,demo/app-transaction-type-db2/ddl/TRNTYCAT.ddl,SQL,0,8,1,7,0
CSMSG01Y.cpy,demo/cpy/CSMSG01Y.cpy,CPY,0,25,1,5,19
COSTM01.CPY,demo/cpy/COSTM01.CPY,CPY,0,39,3,17,19
COTRN01C.cbl,demo/cbl/COTRN01C.cbl,COB,25,331,43,231,57
COMEN01C.cbl,demo/cbl/COMEN01C.cbl,COB,32,309,42,214,53
CSLKPCDY.cpy,demo/cpy/CSLKPCDY.cpy,CPY,0,1319,3,1283,33
LISTCAT.txt,demo/catlg/LISTCAT.txt,LISTCAT,0,3956,0,3956,0
COTRN01.bms,demo/bms/COTRN01.bms,BMS,1,274,1,252,21
CBSTM03B.CBL,demo/cbl/CBSTM03B.CBL,COB,30,231,43,162,26
CBCUS01C.cbl,demo/cbl/CBCUS01C.cbl,COB,20,179,16,130,33
CBEXPORT.cbl,demo/cbl/CBEXPORT.cbl,COB,42,583,96,396,91
COSGN00C.cbl,demo/cbl/COSGN00C.cbl,COB,16,261,39,173,49
COADM01C.cbl,demo/cbl/COADM01C.cbl,COB,28,289,42,189,58
COACTVW.bms,demo/bms/COACTVW.bms,BMS,1,379,1,357,21
DCLTRTYP.dcl,demo/app-transaction-type-db2/dcl/DCLTRTYP.dcl,CPY,0,50,1,11,38
COTRTLIC.cbl,demo/app-transaction-type-db2/cbl/COTRTLIC.cbl,COB,221,2099,1,1861,237
DBPAUTX0.dbd,demo/app-authorization-ims-db2-mq/ims/DBPAUTX0.dbd,DBD,0,34,0,34,0
COMEN01.bms,demo/bms/COMEN01.bms,BMS,1,168,1,146,21
COUSR03.bms,demo/bms/COUSR03.bms,BMS,1,154,1,132,21
CCPAURLY.cpy,demo/app-authorization-ims-db2-mq/cpy/CCPAURLY.cpy,CPY,0,25,1,6,18
